symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
-1,"74","volvo","gas","std","four","wagon","rwd","front",104.300000,188.800000,67.200000,57.500000,3034,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,23,28,13415
-2,"103","volvo","gas","std","four","sedan","rwd","front",104.300000,188.800000,67.200000,56.200000,2935,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,24,28,15985
-1,"74","volvo","gas","std","four","wagon","rwd","front",104.300000,188.800000,67.200000,57.500000,3042,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,24,28,16515
-2,"103","volvo","gas","turbo","four","sedan","rwd","front",104.300000,188.800000,67.200000,56.200000,3045,"ohc","four",130,"mpfi",3.620000,3.150000,7.500000,162,5100,17,22,18420
-1,"74","volvo","gas","turbo","four","wagon","rwd","front",104.300000,188.800000,67.200000,57.500000,3157,"ohc","four",130,"mpfi",3.620000,3.150000,7.500000,162,5100,17,22,18950
-1,"95","volvo","gas","std","four","sedan","rwd","front",109.100000,188.800000,68.900000,55.500000,2952,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,23,28,16845
-1,"95","volvo","gas","turbo","four","sedan","rwd","front",109.100000,188.800000,68.800000,55.500000,3049,"ohc","four",141,"mpfi",3.780000,3.150000,8.700000,160,5300,19,25,19045
-1,"95","volvo","gas","std","four","sedan","rwd","front",109.100000,188.800000,68.900000,55.500000,3012,"ohcv","six",173,"mpfi",3.580000,2.870000,8.800000,134,5500,18,23,21485
-1,"95","volvo","diesel","turbo","four","sedan","rwd","front",109.100000,188.800000,68.900000,55.500000,3217,"ohc","six",145,"idi",3.010000,3.400000,23.000000,106,4800,26,27,22470
-1,"95","volvo","gas","turbo","four","sedan","rwd","front",109.100000,188.800000,68.900000,55.500000,3062,"ohc","four",141,"mpfi",3.780000,3.150000,9.500000,114,5400,19,25,22625
